  QueueTimes | ServiceTimes | SojournTimes

       0.723 |        0.259 |        0.981
       0.904 |        0.247 |        1.151
       1.110 |        0.232 |        1.342
       0.217 |        0.245 |        0.462
       0.118 |        0.303 |        0.421
       0.083 |        0.254 |        0.337
       0.071 |        0.248 |        0.320
       0.066 |        0.838 |        0.903
       0.966 |        0.224 |        1.190
       1.246 |        0.200 |        1.446
       1.256 |        0.211 |        1.466
       1.233 |        0.198 |        1.431
       0.212 |        0.188 |        0.400
       0.035 |        0.180 |        0.215
       0.073 |        0.190 |        0.263
       0.058 |        0.201 |        0.259
       0.141 |        0.194 |        0.335
       0.168 |        0.190 |        0.358
       0.056 |        0.192 |        0.248
       0.160 |        0.209 |        0.369
       0.360 |        0.205 |        0.564
       0.050 |        0.194 |        0.243
       0.101 |        0.208 |        0.309
       0.261 |        0.204 |        0.465
       0.056 |        0.196 |        0.252
       0.045 |        0.193 |        0.238
       0.072 |        0.218 |        0.290
       0.149 |        0.186 |        0.335
       0.104 |        0.206 |        0.310
       0.163 |        0.227 |        0.390
       0.075 |        0.215 |        0.290
       0.034 |        0.200 |        0.234
       0.056 |        0.199 |        0.254
       0.210 |        0.745 |        0.955
       0.454 |        0.211 |        0.665
       0.218 |        0.243 |        0.461
       0.435 |        0.215 |        0.650
       0.074 |        0.221 |        0.295
       0.213 |        0.198 |        0.411
       0.073 |        0.194 |        0.267
       0.162 |        0.186 |        0.349
       0.202 |        0.193 |        0.395
       0.388 |        0.197 |        0.585
       0.264 |        0.187 |        0.451
       0.037 |        0.175 |        0.212
       0.205 |        0.196 |        0.400
       0.289 |        0.175 |        0.464
       0.048 |        0.172 |        0.220
       0.059 |        0.159 |        0.217
       0.080 |        0.163 |        0.242
       0.221 |        0.235 |        0.456
       0.062 |        0.239 |        0.302
       0.058 |        0.224 |        0.282
       0.057 |        0.219 |        0.275
       0.309 |        0.214 |        0.522
       0.060 |        0.197 |        0.256
       0.130 |        0.197 |        0.326
       0.134 |        0.193 |        0.327
       0.073 |        0.198 |        0.271
       0.055 |        0.209 |        0.264
       0.055 |        0.174 |        0.229
       0.054 |        0.198 |        0.253
       0.198 |        0.172 |        0.370
       0.134 |        0.185 |        0.318
       0.124 |        0.171 |        0.295
       0.092 |        0.170 |        0.262
       0.240 |        0.163 |        0.403
       0.218 |        0.156 |        0.374
       0.072 |        0.182 |        0.254
       0.141 |        0.276 |        0.417
       0.379 |        0.262 |        0.641
       0.701 |        0.270 |        0.971
       0.091 |        0.285 |        0.375
       0.004 |        0.289 |        0.293
       0.113 |        0.194 |        0.308
       0.059 |        0.193 |        0.251
       0.158 |        0.189 |        0.347
       0.370 |        0.198 |        0.568
       0.072 |        0.205 |        0.277
       0.055 |        0.175 |        0.230
       0.055 |        0.177 |        0.232
       0.214 |        0.176 |        0.389
       0.213 |        0.189 |        0.402
       0.298 |        0.178 |        0.476
       0.214 |        0.169 |        0.383
       0.222 |        0.177 |        0.399
       0.285 |        0.184 |        0.469
       0.485 |        0.176 |        0.661
       0.219 |        0.186 |        0.405
       0.075 |        0.217 |        0.292
       0.145 |        0.202 |        0.347
       0.207 |        0.232 |        0.439
       0.360 |        0.214 |        0.574
       0.177 |        0.213 |        0.390
       0.371 |        0.200 |        0.572
       0.241 |        0.189 |        0.430
       0.056 |        0.182 |        0.238
       0.226 |        0.201 |        0.427
       0.065 |        0.189 |        0.254
       0.089 |        0.188 |        0.278
       0.073 |        0.198 |        0.271
       0.055 |        0.174 |        0.229
       0.177 |        0.220 |        0.397
       0.074 |        0.206 |        0.280
       0.071 |        0.525 |        0.596
       0.067 |        0.412 |        0.479
       0.516 |        0.382 |        0.897
       0.057 |        0.196 |        0.253
       0.152 |        0.196 |        0.348
       0.055 |        0.161 |        0.216
       0.186 |        0.190 |        0.376
       0.056 |        0.157 |        0.212
       0.090 |        0.175 |        0.265
       0.091 |        0.154 |        0.244
       0.055 |        0.158 |        0.214
       0.245 |        0.156 |        0.401
       0.393 |        0.156 |        0.548
       0.054 |        0.173 |        0.227
       0.135 |        0.156 |        0.291
       0.089 |        0.131 |        0.220
       0.181 |        0.139 |        0.319
       0.072 |        0.161 |        0.234
       0.247 |        0.136 |        0.382
       0.116 |        0.209 |        0.325
       0.242 |        0.165 |        0.407
       0.057 |        0.155 |        0.212
       0.212 |        0.193 |        0.405
       0.064 |        0.211 |        0.275
       0.229 |        0.208 |        0.436
       0.078 |        0.229 |        0.307
       0.210 |        0.241 |        0.452
       0.074 |        0.259 |        0.334
       0.221 |        0.260 |        0.481
       0.144 |        0.290 |        0.433
       0.065 |        0.274 |        0.339
       0.059 |        0.265 |        0.324
       0.353 |        0.266 |        0.620
       0.534 |        0.262 |        0.796
       0.215 |        0.440 |        0.654
       0.091 |        0.423 |        0.514
       0.394 |        0.406 |        0.801
       0.022 |        0.442 |        0.464
       0.254 |        0.475 |        0.729
       0.243 |        0.337 |        0.580
       0.071 |        0.320 |        0.391
       0.332 |        0.340 |        0.672
       0.031 |        0.311 |        0.342
       0.074 |        0.297 |        0.371
       0.058 |        0.286 |        0.344
       0.061 |        0.269 |        0.329
       0.058 |        0.256 |        0.313
       0.070 |        0.255 |        0.324
       0.034 |        0.242 |        0.276
       0.211 |        0.247 |        0.458
       0.092 |        0.241 |        0.333
       0.084 |        0.224 |        0.308
       0.003 |        0.218 |        0.221
       0.214 |        0.218 |        0.432
       0.265 |        0.205 |        0.470
       0.057 |        0.194 |        0.250
       0.074 |        0.194 |        0.268
       0.073 |        0.196 |        0.268
       0.274 |        0.177 |        0.451
       0.191 |        0.175 |        0.366
       0.055 |        0.172 |        0.227
       0.168 |        0.173 |        0.341
       0.197 |        0.173 |        0.371
       0.056 |        0.172 |        0.228
       0.196 |        0.164 |        0.360
       0.160 |        0.161 |        0.321
       0.160 |        0.169 |        0.329
       0.076 |        0.184 |        0.260
       0.055 |        0.171 |        0.226
       0.158 |        0.189 |        0.347
       0.073 |        0.205 |        0.277
       0.058 |        0.190 |        0.248
       0.180 |        0.177 |        0.358
       0.059 |        0.214 |        0.273
       0.099 |        0.239 |        0.338
       0.214 |        0.253 |        0.467
       0.169 |        0.309 |        0.479
       0.069 |        0.300 |        0.369
       0.075 |        0.260 |        0.336
       0.084 |        0.248 |        0.332
       0.101 |        0.282 |        0.383
       0.044 |        0.387 |        0.431
       0.445 |        0.368 |        0.814
       1.967 |        0.343 |        2.310
       1.983 |        0.215 |        2.198
