  QueueTimes | ServiceTimes | SojournTimes
       0.247 |        0.197 |        0.444
       0.214 |        0.223 |        0.436
       0.040 |        0.207 |        0.247
       0.212 |        0.226 |        0.437
       0.050 |        0.209 |        0.259
       0.073 |        0.219 |        0.292
       0.160 |        0.192 |        0.352
       0.056 |        0.191 |        0.247
       0.055 |        0.188 |        0.243
       0.264 |        0.184 |        0.448
       0.167 |        0.198 |        0.365
       0.020 |        0.203 |        0.223
       0.021 |        0.188 |        0.209
       0.132 |        0.188 |        0.319
       0.222 |        0.170 |        0.392
       0.237 |        0.178 |        0.416
       0.055 |        0.177 |        0.232
       0.228 |        0.180 |        0.408
       0.129 |        0.175 |        0.303
       0.072 |        0.261 |        0.333
       0.217 |        0.207 |        0.424
       0.073 |        0.216 |        0.290
       0.031 |        0.186 |        0.217
       0.172 |        0.187 |        0.359
       0.301 |        0.178 |        0.478
       0.214 |        0.194 |        0.408
       0.420 |        0.177 |        0.597
       0.509 |        0.173 |        0.682
       0.168 |        0.182 |        0.350
       0.057 |        0.167 |        0.225
       0.056 |        0.165 |        0.221
       0.080 |        0.178 |        0.257
       0.219 |        0.187 |        0.407
       0.073 |        0.201 |        0.273
       0.054 |        0.172 |        0.226
       0.138 |        0.168 |        0.306
       0.054 |        0.164 |        0.218
       0.070 |        0.184 |        0.254
       0.068 |        0.184 |        0.253
       0.207 |        0.176 |        0.383
       0.239 |        0.169 |        0.408
       0.226 |        0.177 |        0.404
       0.223 |        0.174 |        0.398
       0.208 |        0.193 |        0.401
       0.344 |        0.182 |        0.526
       0.066 |        0.174 |        0.240
       0.220 |        0.185 |        0.405
       0.063 |        0.237 |        0.299
       0.224 |        0.258 |        0.482
       0.218 |        0.263 |        0.481
       0.057 |        0.213 |        0.270
       0.208 |        0.237 |        0.446
       0.074 |        0.240 |        0.314
       0.209 |        0.331 |        0.540
       0.211 |        0.258 |        0.469
       0.211 |        0.252 |        0.462
       0.057 |        0.250 |        0.307
       0.071 |        0.257 |        0.328
       0.305 |        0.221 |        0.526
       0.043 |        0.213 |        0.256
       0.092 |        0.209 |        0.301
       0.071 |        0.211 |        0.283
       0.215 |        0.192 |        0.406
       0.089 |        0.183 |        0.272
       0.103 |        0.333 |        0.435
       0.529 |        0.262 |        0.790
       0.273 |        0.241 |        0.514
       0.076 |        0.235 |        0.311
       0.058 |        0.223 |        0.281
       0.055 |        0.206 |        0.261
       0.063 |        0.239 |        0.302
       0.072 |        0.719 |        0.791
       0.218 |        0.186 |        0.404
       0.051 |        0.183 |        0.234
       0.091 |        0.184 |        0.275
       0.210 |        0.194 |        0.404
       0.206 |        0.192 |        0.399
       0.024 |        0.225 |        0.249
       0.162 |        0.216 |        0.378
       0.171 |        0.231 |        0.402
       0.058 |        0.224 |        0.282
       0.097 |        0.286 |        0.383
       0.073 |        0.351 |        0.424
       0.490 |        0.312 |        0.802
       0.473 |        0.284 |        0.757
       0.653 |        0.272 |        0.926
       0.163 |        0.274 |        0.437
       0.132 |        0.266 |        0.398
       0.213 |        0.286 |        0.499
       0.060 |        0.240 |        0.300
       0.248 |        0.237 |        0.486
       0.208 |        0.231 |        0.439
       0.074 |        0.225 |        0.299
       0.287 |        0.245 |        0.532
       0.115 |        0.244 |        0.359
       0.266 |        0.240 |        0.506
       0.058 |        0.214 |        0.272
       0.066 |        0.228 |        0.294
       0.058 |        0.225 |        0.283
       0.215 |        0.224 |        0.439
       0.048 |        0.208 |        0.256
       0.266 |        0.198 |        0.464
       0.211 |        0.206 |        0.418
       0.217 |        0.218 |        0.435
       0.206 |        0.216 |        0.422
       0.074 |        0.223 |        0.297
       0.070 |        0.235 |        0.305
       0.183 |        0.229 |        0.412
       0.059 |        0.223 |        0.282
       0.166 |        0.227 |        0.393
       0.194 |        0.238 |        0.431
       0.341 |        0.209 |        0.550
       0.497 |        0.209 |        0.706
       0.106 |        0.195 |        0.301
       0.058 |        0.195 |        0.253
       0.208 |        0.187 |        0.394
       0.073 |        0.191 |        0.264
       0.008 |        0.189 |        0.198
       0.074 |        0.205 |        0.279
       0.040 |        0.188 |        0.228
       0.215 |        0.188 |        0.404
       0.074 |        0.204 |        0.278
       0.030 |        0.192 |        0.221
       0.177 |        0.190 |        0.367
       0.057 |        0.200 |        0.256
       0.056 |        0.185 |        0.241
       0.217 |        0.190 |        0.407
       0.082 |        0.191 |        0.273
       0.057 |        0.191 |        0.248
       0.211 |        0.184 |        0.395
       0.073 |        0.201 |        0.274
       0.186 |        0.180 |        0.366
       0.060 |        0.175 |        0.234
       0.183 |        0.174 |        0.356
       0.073 |        0.193 |        0.266
       0.157 |        0.174 |        0.331
       0.227 |        0.182 |        0.409
       0.383 |        0.181 |        0.564
       0.056 |        0.175 |        0.232
       0.161 |        0.170 |        0.331
       0.055 |        0.168 |        0.223
       0.178 |        0.173 |        0.351
       0.280 |        0.172 |        0.452
       0.251 |        0.175 |        0.426
       0.209 |        0.191 |        0.400
       0.073 |        0.204 |        0.277
       0.206 |        0.202 |        0.408
       0.164 |        0.211 |        0.375
       0.203 |        0.217 |        0.419
       0.213 |        0.300 |        0.513
       0.075 |        0.301 |        0.376
       0.127 |        0.257 |        0.384
       0.045 |        0.245 |        0.290
       0.217 |        0.235 |        0.452
       0.220 |        0.236 |        0.457
       0.298 |        0.242 |        0.540
       0.280 |        0.235 |        0.515
       0.235 |        0.250 |        0.485
       0.172 |        0.317 |        0.490
       0.209 |        0.288 |        0.497
       0.059 |        0.257 |        0.316
       0.172 |        0.288 |        0.460
       0.220 |        0.312 |        0.531
       0.103 |        0.349 |        0.451
       0.185 |        0.337 |        0.522
       0.080 |        0.310 |        0.390
       0.202 |        0.295 |        0.498
       0.212 |        0.305 |        0.517
       0.061 |        0.280 |        0.341
       0.212 |        0.274 |        0.486
       0.214 |        0.283 |        0.497
       0.166 |        0.304 |        0.470
       0.074 |        0.289 |        0.363
       0.218 |        0.277 |        0.494
       0.220 |        0.283 |        0.503
       0.169 |        0.337 |        0.507
       0.457 |        0.290 |        0.747
       0.060 |        0.290 |        0.351
       0.098 |        0.253 |        0.351
       0.277 |        0.241 |        0.518
       0.060 |        0.232 |        0.292
       0.217 |        0.219 |        0.436
       0.059 |        0.251 |        0.310
       0.014 |        0.239 |        0.253
       0.162 |        0.241 |        0.403
       0.094 |        0.245 |        0.340
       0.273 |        0.232 |        0.506
       0.075 |        0.235 |        0.310
       0.164 |        0.228 |        0.392
       0.215 |        0.273 |        0.488
       0.210 |        0.274 |        0.484
       0.528 |        0.280 |        0.808
       0.197 |        0.264 |        0.461
       0.060 |        0.242 |        0.301
       0.058 |        0.238 |        0.296
       0.057 |        0.236 |        0.293
       0.057 |        0.225 |        0.283
       0.052 |        0.222 |        0.274
       0.188 |        0.213 |        0.401
       0.158 |        0.209 |        0.367
       0.209 |        0.214 |        0.423
       0.477 |        0.211 |        0.688
       0.144 |        0.197 |        0.341
       0.364 |        0.197 |        0.562
       0.272 |        0.185 |        0.458
       0.212 |        0.176 |        0.387
       0.209 |        0.205 |        0.414
       0.229 |        0.200 |        0.429
       0.063 |        0.185 |        0.248
       0.219 |        0.292 |        0.511
       0.266 |        0.252 |        0.518
       0.060 |        0.233 |        0.293
       0.057 |        0.223 |        0.279
       0.070 |        0.233 |        0.303
       0.105 |        0.209 |        0.313
       0.307 |        0.209 |        0.516
       0.426 |        0.195 |        0.621
       0.663 |        0.214 |        0.877
       0.528 |        0.186 |        0.714
       0.496 |        0.179 |        0.675
       0.030 |        0.172 |        0.201
       0.054 |        0.168 |        0.222
       0.108 |        0.170 |        0.278
       0.211 |        0.241 |        0.452
       0.340 |        0.220 |        0.560
       0.057 |        0.207 |        0.264
       0.055 |        0.202 |        0.257
       0.101 |        0.197 |        0.298
       0.072 |        0.296 |        0.368
       0.140 |        0.525 |        0.665
       0.420 |        0.125 |        0.545
       0.271 |        0.127 |        0.398
       0.541 |        0.638 |        1.179
       0.925 |        0.108 |        1.034
       0.827 |        0.109 |        0.936
       0.095 |        0.632 |        0.727
       0.443 |        0.107 |        0.550
       0.441 |        0.105 |        0.546
       0.306 |        0.098 |        0.404
       0.074 |        0.133 |        0.207
       0.071 |        0.170 |        0.241
       0.220 |        0.107 |        0.327
       0.337 |        0.107 |        0.445
       0.454 |        0.104 |        0.558
       0.074 |        0.144 |        0.218
       0.158 |        0.111 |        0.270
       0.219 |        0.123 |        0.342
       0.037 |        0.113 |        0.150
       0.053 |        0.112 |        0.165
       0.069 |        0.145 |        0.213
       0.015 |        0.116 |        0.131
       0.052 |        0.111 |        0.164
       0.230 |        0.126 |        0.356
       0.053 |        0.117 |        0.170
       0.058 |        0.129 |        0.187
       0.058 |        0.198 |        0.256
       0.223 |        0.178 |        0.402
       0.374 |        0.165 |        0.539
       0.055 |        0.167 |        0.222
       0.091 |        0.177 |        0.268
       0.311 |        0.166 |        0.477
       0.226 |        0.163 |        0.388
