  QueueTimes | ServiceTimes | SojournTimes
       0.141 |        0.252 |        0.393
       0.132 |        0.255 |        0.387
       0.070 |        0.248 |        0.317
       0.361 |        0.256 |        0.618
       0.117 |        0.250 |        0.367
       0.309 |        0.235 |        0.544
       0.517 |        0.251 |        0.769
       0.167 |        0.275 |        0.441
       0.028 |        0.249 |        0.277
       0.111 |        0.284 |        0.395
       0.083 |        0.236 |        0.320
       0.154 |        0.272 |        0.426
       0.278 |        0.248 |        0.525
       0.072 |        0.255 |        0.327
       0.352 |        0.250 |        0.602
       0.053 |        0.237 |        0.290
       0.052 |        0.249 |        0.301
       0.223 |        0.253 |        0.475
       0.475 |        0.246 |        0.721
       0.155 |        0.248 |        0.403
       0.298 |        0.233 |        0.531
       0.338 |        0.250 |        0.588
       0.501 |        0.259 |        0.760
       0.489 |        0.250 |        0.739
       0.168 |        0.267 |        0.434
       0.471 |        0.248 |        0.719
       0.751 |        0.257 |        1.008
       0.606 |        0.366 |        0.972
       0.818 |        0.377 |        1.196
       0.858 |        0.237 |        1.095
       0.882 |        0.253 |        1.135
       0.165 |        0.264 |        0.429
       0.192 |        0.303 |        0.495
       0.472 |        0.289 |        0.760
       0.307 |        0.294 |        0.601
       0.072 |        0.312 |        0.384
       0.068 |        0.438 |        0.505
       0.140 |        0.279 |        0.419
       0.186 |        0.354 |        0.540
       0.529 |        0.295 |        0.825
       0.669 |        0.316 |        0.986
       0.986 |        0.266 |        1.252
       1.291 |        0.271 |        1.562
       0.640 |        0.255 |        0.895
       0.384 |        0.394 |        0.777
       0.226 |        0.244 |        0.469
       0.410 |        0.324 |        0.734
       0.568 |        0.262 |        0.831
       0.801 |        0.265 |        1.066
       0.987 |        0.266 |        1.253
       0.858 |        0.243 |        1.101
       1.133 |        0.246 |        1.380
       0.707 |        0.262 |        0.969
       0.975 |        0.264 |        1.238
       0.056 |        0.312 |        0.368
       0.133 |        0.255 |        0.387
       0.069 |        0.277 |        0.345
       0.053 |        0.240 |        0.293
       0.052 |        0.265 |        0.317
       0.279 |        0.238 |        0.517
       0.136 |        0.255 |        0.391
       0.057 |        0.257 |        0.314
       0.013 |        0.254 |        0.267
       0.053 |        0.262 |        0.315
       0.053 |        0.238 |        0.291
       0.052 |        0.250 |        0.302
       0.056 |        0.237 |        0.294
       0.053 |        0.235 |        0.288
       0.317 |        0.233 |        0.551
       0.227 |        0.271 |        0.498
       0.519 |        0.221 |        0.740
       0.724 |        0.200 |        0.924
       0.561 |        0.200 |        0.760
       0.326 |        0.212 |        0.538
       0.052 |        0.221 |        0.274
       0.052 |        0.200 |        0.252
       0.066 |        0.238 |        0.305
       0.010 |        0.217 |        0.227
       0.067 |        0.234 |        0.301
       0.178 |        0.200 |        0.378
       0.252 |        0.215 |        0.467
       0.127 |        0.198 |        0.325
       0.229 |        0.199 |        0.428
       0.011 |        0.258 |        0.269
       0.189 |        0.226 |        0.416
       0.071 |        0.248 |        0.319
       0.228 |        0.201 |        0.429
       0.167 |        0.236 |        0.404
       0.053 |        0.224 |        0.276
       0.174 |        0.218 |        0.392
       0.172 |        0.228 |        0.400
       0.160 |        0.214 |        0.374
       0.350 |        0.213 |        0.563
       0.058 |        0.226 |        0.283
       0.264 |        0.216 |        0.481
       0.467 |        0.201 |        0.668
       0.495 |        0.255 |        0.751
       0.081 |        0.203 |        0.284
       0.122 |        0.206 |        0.328
       0.052 |        0.235 |        0.287
       0.219 |        0.216 |        0.435
       0.180 |        0.223 |        0.402
       0.106 |        0.205 |        0.310
       0.073 |        0.241 |        0.314
       0.265 |        0.207 |        0.472
       0.431 |        0.203 |        0.634
       0.433 |        0.210 |        0.643
       0.406 |        0.214 |        0.620
       0.131 |        0.198 |        0.329
       0.337 |        0.201 |        0.537
       0.178 |        0.231 |        0.409
       0.079 |        0.230 |        0.309
       0.257 |        0.239 |        0.496
       0.519 |        0.214 |        0.733
       0.402 |        0.210 |        0.612
       0.488 |        0.213 |        0.701
       0.298 |        0.206 |        0.503
       0.073 |        0.222 |        0.294
       0.158 |        0.212 |        0.370
       0.053 |        0.225 |        0.278
       0.172 |        0.219 |        0.391
       0.328 |        0.217 |        0.545
       0.053 |        0.203 |        0.255
       0.256 |        0.202 |        0.458
       0.179 |        0.233 |        0.412
       0.407 |        0.218 |        0.625
       0.395 |        0.220 |        0.614
       0.092 |        0.205 |        0.297
       0.073 |        0.338 |        0.410
       0.069 |        0.294 |        0.362
       0.180 |        0.210 |        0.390
       0.098 |        0.221 |        0.319
       0.121 |        0.202 |        0.324
       0.053 |        0.237 |        0.290
       0.288 |        0.211 |        0.499
       0.219 |        0.218 |        0.437
       0.339 |        0.199 |        0.538
       0.175 |        0.212 |        0.387
       0.053 |        0.211 |        0.264
       0.078 |        0.202 |        0.281
       0.068 |        0.225 |        0.293
       0.293 |        0.200 |        0.493
       0.201 |        0.227 |        0.428
       0.120 |        0.198 |        0.318
       0.162 |        0.222 |        0.385
       0.347 |        0.206 |        0.554
       0.551 |        0.210 |        0.761
       0.537 |        0.201 |        0.738
       0.206 |        0.214 |        0.420
       0.351 |        0.231 |        0.582
       0.518 |        0.206 |        0.724
       0.334 |        0.198 |        0.531
       0.131 |        0.201 |        0.332
       0.141 |        0.211 |        0.351
       0.053 |        0.205 |        0.258
       0.216 |        0.199 |        0.414
